name,address,amenities1,amenities2,amenities3,amenities4,amenities5,amenities6,amenities7,amenities8,amenities9,amenities10,rooms1,rooms2,rooms3,rooms4,rooms5,rooms6,price,rating,numReviews,lat,lon
Dublin Skylon Hotel,"27 Upper Drumcondra Road, Dublin D09 V1Y2 Ireland",19,3,1,71,63,61, 24-hour security,58,,,201,200,,,,,118,4,"2,131 reviews",53.3794576,-6.2665362
The Beacon,"Beacon Court Sandyford, Sandyford 18 Ireland",19,3,11,1,63,61,79,58,,,201,204,,,,, Available Upon Request,4.5,"1,650 reviews",53.269008,-6.226709
Hyatt Centric The Liberties Dublin,"Dean Street The Liberties, Dublin D08 W3X7 Ireland",19,3,11,1,44, Walking tours,69,73,,,Mountain view, City view,201,204,200,,190,4.5,327 reviews,53.339276,-6.277917
Crowne Plaza Dublin Airport,"Northwood Park, Santry Ireland",19,3,11,1,40,63,61,58,,,202,201,204,200,,, Available Upon Request,4.5,"2,371 reviews",53.401688,-6.237113
Holiday Inn Express Dublin Airport,"Northwood Park, Santry Demesne, Santry N/A Ireland",19,3,4,40,63,62,58,81,,,201,200,,,,, Available Upon Request,4,156 reviews,52.666037,-8.631584
Maynooth Campus Conference & Accommodation,"Parson Street, Maynooth Ireland",19,3,3,23,62,58, Chapel / shrine,13,,,Unknown,,,,,,82,4,95 reviews,53.3771526,-6.5961772
Commodore Hotel,"Westbourne Place, Cobh Ireland",19,3,1,63,61,13,87,99,,,Unknown,,,,,,75,4,761 reviews,51.8495022,-8.29669
Hilton Dublin Airport,"Northern Cross, Malahide Road, Dublin 17 Ireland",19,3,11,1,85,69,40,61,,,201,204,200,,,, Available Upon Request,4,"2,951 reviews",53.33928,-6.281314
Hilton Dublin,"Charlemont Place, Dublin D02 A893 Ireland",19,3,11,1,14,14,97,85,,,Mountain view,201,,,,, Available Upon Request,4,"2,467 reviews",53.3309263,-6.2588557
Travelodge Dublin Airport Swords,"Travelodge Pinnock Hill Roundabout, Swords Ireland",19,3,21,30,40,58, Currency exchange,87,,,201,,,,,, Available Upon Request,3,"1,324 reviews",53.449278,-6.223668
Travelodge Dublin Airport Swords,"Travelodge Pinnock Hill Roundabout, Swords Ireland",19,3,21,30,40,58, Currency exchange,87,,,201,,,,,, Available Upon Request,3,"1,324 reviews",53.449278,-6.223668
Marlin Hotel Dublin,"11 Bow Lane East St Stephens Green, Dublin D02 YE24 Ireland",17,3,11,1,40,63,62, 24-hour security,,,City view,201,204,,,, Available Upon Request,4.5,521 reviews,53.33928,-6.281314
Emmet House Bed & Breakfast,"Emmet Square, Birr Ireland",17,3,4,33,45,60,84,95,85,79,201,200,,,,,81,5,151 reviews,53.0961556,-7.9106456
The Metropole Hotel,"MacCurtain Street, Cork T23 EEC3 Ireland",17,3,9,11,21,73,63,61,,,202,201,204,200,,,93,4.5,"1,090 reviews",51.901451,-8.467817
Dinn Ri Hotel,"Tullow St., Carlow Ireland",17,3,53,33,45,58,13,87,,,201,,,,,,99,4,148 reviews,52.8360267,-6.9248285
Hard Rock Hotel Dublin,"Fashion House 18 Exchange Street Upper Temple Bar, Dublin D08 AV24 Ireland",17,3,3,1,21,,,,,,201,204,,,,,269,5,89 reviews,52.668707,-8.622011
Crottys Pub B & B,"Market Square, Kilrush Ireland",17,3,3,4,1,62,58,13,,,201,,,,,, Available Upon Request,4,240 reviews,52.6380794,-9.4840777
Grand Central Hotel,"Main Street, Bundoran Ireland",17,3,10,4,14,43,73,58,,,201,,,,,,89,3,465 reviews,54.4810049,-8.2722434
Ferry House Bed and Breakfast,"15 Clarinda Park North Dun Laoghaire, Dun Laoghaire Co. Dublin Ireland",17,20,3,3,4,8,31,13,,,201,,,,,, Available Upon Request,4.5,122 reviews,53.2890453,-6.130067548
Bank House & Bar,"Bank House Main Street, Bundoran F94 V4K0 Ireland",17,3,4,12,66,35,85,58,,,201,200,,,,,90,4.5,114 reviews,51.838633,-9.901027
Befanis Guesthouse,"Befanis 6 Sarsfield Street, Clonmel Ireland",17,24,3,3,4,8,81,13,,,201,,,,,,90,4.5,68 reviews,52.3527414,-7.701246787
The Townhouse Tullamore,"High Street, Tullamore Ireland",17,24,3,1,8,62,58,13,,,201,200,,,,, Available Upon Request,3.5,31 reviews,53.2744374,-7.4927798
Hotel Riu Plaza The Gresham Dublin,"23 Upper OConnell Street, Dublin D01 C3W7 Ireland",16,3,1,73,61,62, 24-hour security,58,,,201,204,200,,,, Available Upon Request,4,"2,056 reviews",53.33928,-6.281314
Ballina Manor Hotel,"Barrett Street The Moy Ridge9 & Salmon Weir, Ballina F26 HY84 Ireland",16,3,1,33,45,69,71,63,,,City view,201,204,200,,, Available Upon Request,4,645 reviews,53.29461,-6.143112
The Gibson Hotel,"The Point Village, Dublin DUBLIN 3 Ireland",16,3,11,1,70,71,63,61,,,201,204,200,,,,159,4.5,"5,857 reviews",53.381856,-6.410903
Park Inn by Radisson Shannon Airport,"Shannon Airport, Shannon Ireland",16,3,11,1,71,63,61, Solarium,,,201,200,,,,, Available Upon Request,4,"1,491 reviews",52.69960575,-8.920721565
Templemore Arms Hotel,"High Street, Templemore Ireland",16,3,44,70,35,62,58,13,,,202,201,200,,,,120,4.5,117 reviews,52.794722,-7.833889
Red Cow Moran Hotel,"Naas Road Red Cow Complex, Clondalkin Ireland",20,3,1,71,63,61,58, Currency exchange,,,201,204,200,,,, Available Upon Request,4,"2,749 reviews",53.317744,-6.367551
Red Cow Moran Hotel,"Naas Road Red Cow Complex, Clondalkin Ireland",20,3,1,71,63,61,58, Currency exchange,,,201,204,200,,,,99,4,"2,749 reviews",53.317744,-6.367551
Clayton Hotel Liffey Valley,"Liffey Valley Complex Fonthill Road on the M50/N4 intersection at Liffey Valley, Clondalkin 22 Ireland",20,3,9,11,1," ""Childrens playground""", Indoor play area for children,40,,,201,204,200,,,,109,4,"3,480 reviews",52.476835,-7.040513
Dillanes Farmhouse B&B,"Doonard, Listowel Road, Tarbert Ireland",20,3,3,58,,,,,,,Unknown,,,,,, Available Upon Request,2.5,11 reviews,52.56060955,-9.38206857
Kilkee Bay Apartments,"Kilrush Road, Kilkee Ireland",3,1,35,2,13,,,,,,Unknown,,,,,, Available Upon Request,3.5,3 reviews,52.683225,-9.644029
"Barrons Cafe, Takeaway and B&B","Lower Main Street, Moville F93X7FN Ireland",3,4,21,2,13,,,,,,Unknown,,,,,,70,4,14 reviews,55.191281,-7.041766
Byrnes Restaurant and Accommodation,"Main Street, Ennistymon Ireland",21,34,13,,,,,,,,201,204,,,,, Available Upon Request,4,55 reviews,52.9433786,-9.2924576
Island View House,"Knockanroe, Castletownbere Ireland",22,3,3,4,14,51,13,47,,,201,200,,,,,59,4,115 reviews,51.6520261,-9.9110434
